time_s,yaw,pitch,roll,label,subject_id,scenario,source_file
0.0,7.151685615101211,31.91242347759564,4.539937625601021,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.02,7.42132953352645,32.492954036819064,4.169750535030571,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.04,7.128011693231456,31.628749236253917,4.931194605805073,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.06,7.312951355145449,32.66648968887935,4.113669264595512,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.08,7.2437801157963,32.65916996958716,4.820444660933814,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.1,6.937400793669648,32.128494493009015,4.088169886358198,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.12,7.509772183628938,32.66565948584598,4.618747959534353,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.14,7.218953761914665,32.31010954900196,4.775668735032311,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.16,7.359519266610845,32.88584798222726,5.010770281316337,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.18,6.79397372551995,32.297438448786465,4.360028185443294,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.2,6.788363999165644,32.28453697110695,3.92220095800043,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.22,7.060385531240037,32.34276273440578,4.626741194325695,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.24,6.872531983520056,32.60986351782074,4.182842189192091,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.26,7.299705046992596,32.23884615976881,4.076711274245406,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.28,7.235660225443414,33.21025589866566,4.213319754724943,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.3,7.479603577093063,32.44237564323341,4.122013818994631,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.32,7.287428637948187,33.070839511298786,4.598745287423651,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.34,6.77080471576479,32.477391720951665,4.4373104590949355,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.36,7.392974515371172,32.47357625029936,4.5809471278043485,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.38,6.912375614041185,32.3628068574145,4.63456436431488,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.4,6.886367211060162,32.353363669537735,4.283792589596199,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.42,7.124046393458293,32.7131333441647,4.597943816196563,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.44,7.101566983739134,32.94401278264547,4.745111892142136,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.46,7.4143351750513435,32.6303361869142,4.929008176325725,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.48,7.949752831440736,32.34518969618139,4.450589858750059,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.5,7.2277716456477155,32.676828713704936,4.328806854652349,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.52,7.537248430052266,32.387372607663366,4.1381940249155535,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.54,7.040127349974129,31.83909476851335,4.292277007627009,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.56,7.2071644014151675,32.67035214750656,4.410838413540373,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.58,6.955531956407921,32.126317618339144,4.48407234230554,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.6,6.986900530464432,32.457852936733836,4.036932738826369,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.62,7.518965343188776,32.66403028111925,4.3109884552979985,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.64,7.251621356098527,32.531544878914126,4.375646512832868,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.66,7.248812123471667,32.57335066056365,4.270286409928632,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.68,6.874453216391761,33.10542120412172,4.268819586212839,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.7000000000000001,7.6274469365650575,32.93457798903265,4.544031964282859,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.72,7.061904867560602,33.0994961804463,4.171741156747198,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.74,6.92112674031802,32.717723008047166,4.584997764346373,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.76,7.110650519081246,32.72281853492653,4.1486080787510735,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.78,7.317436166699611,33.17765791414223,4.520026633419586,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.8,7.339836839031736,32.47952305407535,4.145898752492564,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.8200000000000001,7.553846573410456,32.766877498359136,4.80107161859914,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.84,6.793354841930664,32.71599420566169,4.682156452384135,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.86,6.981483644292416,32.76982656677063,4.856591193875657,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.88,7.576902368182656,32.86659826986831,4.240057845334359,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.9,7.789873478190204,32.73353349575224,4.106604518285883,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.92,6.9192924614080376,32.94398710485928,4.11050503905865,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.94,7.076029356523677,32.465664005010694,4.425967402830869,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.96,6.638098987183647,32.86482300514432,4.797075157028968,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
0.98,6.851563551418167,32.41512555132279,4.699938382418848,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
1.0,6.829978454358161,33.03487838990829,4.692848590685714,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
1.02,7.062188163686899,33.00327483928369,4.150770716645565,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
1.04,6.73860180939579,32.649045594191534,4.804228050328622,1,synthetic,Marche inclinée synthétique,generated_incline_walk.csv
